SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,,,,
 Account Receivable & Prepayments ,451404791,ASIF MAHTHASH NADENMAL THAZHAYIL - CA - 2227,-30.21,0,6.97,-37.18,,,,,,,,
 Account Receivable & Prepayments ,451510433,LIBIMON BABY - CA - 2221,-99.13,0,0,-99.13,,,,,,,,
 Account Receivable & Prepayments ,453001754,RASHID ATHOORUVALAPPIL MOIDUTTY - CA - 2174,0.87,0,0,0.87,,,,,,,,
 Account Receivable & Prepayments ,461600333,SOBHIE  AZHAB  ALALI - CA - 2081,11203,0,1200,10003,,,,,,,,
 Account Receivable & Prepayments ,461803808,Regeio Llanita Gito - CA - 2151,0.4,137,137,0.4,,,,,,,,
 Account Receivable & Prepayments ,470110746,ABDALLA SALAH AHMED HASSANIN - CA - 2172,0.42,0,0,0.42,,,,,,,,
 Account Receivable & Prepayments ,470903702,EKRAMY AHMED AL SAYED ABDUL KARIM - CA - 2201,0.4,0,0,0.4,,,,,,,,
 Account Receivable & Prepayments ,471702176,MARCOS ALEXO REBELLO - CA - 2102,-134.13,0,0,-134.13,,,,,,,,
 Account Receivable & Prepayments ,471805153,DENNIS PAYUYO ASUNCION - CA - 2186,-57,0,0,-57,,,,,,,,
 Account Receivable & Prepayments ,472900833,KHALED YOUSEF - CA - 2076,106.482,0,0,106.482,,,,,,,,
 Account Receivable & Prepayments ,481201548,HUSSEIN SADEK - CA - 2023,1800.51,100,100,1800.51,,,,,,,,
 Account Receivable & Prepayments ,481202306,MUJEEB PARKER HASSAN - CA - 2133,5,0,0,5,,,,,,,,
 Account Receivable & Prepayments ,481402111,YAHIA ZAKARIYA FAHME - CA - 2021,-307.15,0,0,-307.15,,,,,,,,
 Account Receivable & Prepayments ,481502923,MAHMOUD HAMADA YOUSEEF - CA - 2078,-260,0,0,-260,,,,,,,,
 Account Receivable & Prepayments ,481701353,MOHAMAD ABD AL AZEEM - CA - 2055,20,0,0,20,,,,,,,,
 Account Receivable & Prepayments ,481702675,EMAD ALI MOHAMED IBRAHIM - CA - 2210,1.57,162,162,1.57,,,,,,,,
 Account Receivable & Prepayments ,490902084,Rohan Chaminda Werasekara Dindubabduge - CA - 2150,1.41,0,0,1.41,,,,,,,,
 Account Receivable & Prepayments ,492602317,RAGEH OSMAN MOHAMD FADEL - CA - 2239,1.76,0,0,1.76,,,,,,,,
 Account Receivable & Prepayments ,522204694,HAMDI RADWAN - WHS - 4033,-9.4,0,0,-9.4,,,,,,,,
